City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Mbini,GQ,1.57,9.61,77.0,100,40,2.66,scattered clouds
303,North Bend,US,43.41,-124.22,62.01,71,1,17.22,clear sky
304,East London,ZA,-33.02,27.91,64.74,73,92,11.21,overcast clouds
305,Honningsvag,NO,70.98,25.97,41.29,74,75,18.16,broken clouds
306,Altzayanca,MX,19.43,-97.78,71.6,37,40,11.41,scattered clouds
307,Labuhan,ID,-6.88,112.21,75.76,90,100,5.61,light rain
308,Nha Trang,VN,12.25,109.18,80.6,83,40,18.34,scattered clouds
309,Sovetskiy,RU,61.36,63.58,31.26,97,100,8.75,overcast clouds
310,Pacifica,US,37.61,-122.49,75.99,36,1,12.75,clear sky
311,Anadyr,RU,64.75,177.48,5.0,84,40,11.18,scattered clouds
312,Lebu,CL,-37.62,-73.65,54.82,82,0,9.73,clear sky
313,Payo,ID,-3.75,103.64,74.05,92,100,0.22,overcast clouds
314,Raudeberg,NO,61.99,5.14,50.0,71,78,29.97,light rain
315,Nhamunda,BR,-2.19,-56.71,85.64,41,30,2.8,scattered clouds
316,Kpandu,GH,7.0,0.29,76.51,88,64,6.58,broken clouds
317,Laguna,US,38.42,-121.42,81.0,21,1,3.36,clear sky
318,Burns Lake,CA,54.23,-125.75,42.8,81,87,5.82,overcast clouds
319,Suluq,LY,31.67,20.25,64.42,68,0,6.35,clear sky
320,Iranshahr,IR,27.2,60.68,58.41,23,0,4.61,clear sky
321,Prince George,CA,53.92,-122.75,36.0,93,90,11.41,overcast clouds
322,Isangel,VU,-19.55,169.27,79.84,71,91,13.96,overcast clouds
323,Lodja,CD,-3.48,23.43,68.56,95,0,1.25,clear sky
324,Kumylzhenskaya,RU,49.88,42.59,52.0,77,100,4.0,light rain
325,Olafsvik,IS,64.89,-23.71,42.48,83,63,10.83,light rain
326,Nishihara,JP,26.18,127.76,75.2,64,20,8.05,few clouds
327,Margate,GB,51.38,1.39,52.0,82,80,3.0,broken clouds
328,Kindersley,CA,51.47,-109.17,39.2,41,75,13.87,broken clouds
329,Mantua,IT,45.17,10.78,53.01,97,100,4.0,overcast clouds
330,Sorong,ID,-0.88,131.25,82.53,78,56,10.69,broken clouds
331,Brownsville,US,25.9,-97.5,77.0,50,1,11.41,clear sky
332,Itoman,JP,26.12,127.67,75.2,57,20,11.41,few clouds
333,Chambas,CU,22.19,-78.91,78.8,94,40,12.75,scattered clouds
334,South River,US,40.45,-74.39,45.0,69,0,6.58,clear sky
335,Shaunavon,CA,49.65,-108.42,39.2,41,14,12.75,few clouds
336,Diego De Almagro,CL,-26.37,-70.05,64.62,28,90,4.12,overcast clouds
337,Antofagasta,CL,-23.65,-70.4,62.6,72,75,13.87,broken clouds
338,Constitucion,CL,-35.33,-72.42,57.69,83,10,6.6,clear sky
339,Gravatai,BR,-29.94,-50.99,66.2,68,20,11.41,few clouds
340,Awjilah,LY,29.11,21.29,65.7,71,68,7.45,broken clouds
341,Duxbury,US,42.04,-70.67,42.01,86,1,5.14,clear sky
342,Colares,PT,38.8,-9.45,64.99,89,83,3.53,broken clouds
343,Ostrovnoy,RU,68.05,39.51,27.77,94,88,17.67,overcast clouds
344,Chhatak,BD,25.03,91.67,74.8,90,99,2.82,light rain
345,Bako,ET,5.78,36.57,62.64,94,90,3.49,moderate rain
346,Flinders,AU,-34.58,150.86,62.01,87,92,7.0,moderate rain
347,Beipiao,CN,41.79,120.78,38.19,59,0,7.07,clear sky
348,Saint George,US,37.1,-113.58,79.0,15,1,1.19,clear sky
349,Walvis Bay,NA,-22.96,14.51,55.0,87,0,5.82,clear sky
350,Bilibino,RU,68.05,166.44,2.25,84,71,2.44,broken clouds
351,Kavaratti,IN,10.57,72.64,81.73,70,50,3.85,scattered clouds
352,Aripuana,BR,-9.17,-60.63,75.04,96,100,2.55,light rain
353,Lagos,NG,6.58,3.75,80.6,94,20,2.24,thunderstorm
354,Victoria,HK,22.29,114.16,72.0,78,94,1.01,overcast clouds
355,Kidal,ML,18.44,1.41,78.3,18,42,11.25,scattered clouds
356,Gunnedah,AU,-30.98,150.25,64.4,68,75,5.82,broken clouds
357,Ginir,ET,7.13,40.7,57.18,91,51,5.03,broken clouds
358,Sibolga,ID,1.74,98.78,75.58,88,100,1.19,moderate rain
359,Hofn,IS,64.25,-15.21,42.78,72,100,18.84,light rain
360,Abu Dhabi,AE,24.47,54.37,77.0,78,0,3.36,clear sky
361,Sao Filipe,CV,14.9,-24.5,79.93,66,86,9.33,overcast clouds
362,Codrington,AU,-38.27,141.97,57.22,77,15,5.53,few clouds
363,Ntungamo,UG,-0.88,29.65,64.15,89,95,2.89,overcast clouds
364,Plaeng Yao,TH,13.58,101.28,81.0,99,92,6.82,overcast clouds
